Unique_ID,Neutro4,Thrombo4,Anemia4,Lympho4,GINONV_34,ALLERGY_34,AUDITORY_34,CARDIO_34,COAGULATION_34,CONSTITUTIONAL_34,EPIDERMAL_34,ENDOCRINE_34,INFECTION_34,METABOLIC_34,HEMORRHAGE_34,LYMPHATICS_34,MUSCLE_34,NEUROLOGICAL_34,OCULAR_34,PAIN_34,PULMONARY_34,RENAL_34,VASCULAR_34,OTHER_34,NO_DLT,DLT_PROP
KOIZU0704_T2,0.014515462376217966,0.0,0.0,0.005243596727809159,0.069,0.009324373590977535,0.0,0.0028119819257658857,0.0,0.0,0.0,0.0,0.06770747416482407,0.0,0.02006381858205386,0.0020983129341030846,0.007605547872609371,0.031911775718784036,0.0006757850515428567,0.024956228325317298,0.007061098513478331,0.0,0.016043334445908247,0.07882575805225715,0.6925204353190954,0.30747956468090465
KOK0596_T,0.0,0.0,0.0,0.0035546593970241605,0.172,0.009871365765557326,0.0024238847850197665,0.0,0.032528311560628645,0.07912792011746846,0.0,0.0,0.0,0.017413616508338357,0.02355657808693388,0.0,0.023328925241806398,0.0,0.009661880338345936,0.007623617420283418,0.013565317725596472,0.01697816974042521,0.07385870079016693,0.07752760477193882,0.5539202520758822,0.44607974792411775
LEE0708_T1,0.023,0.0,0.045,0.002018317655613386,0.068,0.0145642966226096,0.0028267044018695704,0.04545409983977268,0.028377781561665608,0.091,0.068,0.0,0.023,0.023,0.025427249603684924,0.004364843822572514,0.01939601750410164,0.01800725283131699,0.009098936092154081,0.023,0.024214444635341406,0.004927676897993394,0.03246100924071241,0.08518757924534467,0.4972208895620998,0.5027791104379002
LEE0708_T2,0.0,0.024,0.071,0.0,0.095,0.0,0.008469154690258565,0.033524286216384286,0.05331540130825029,0.071,0.0,0.0,0.0,0.048,0.026716139616715325,0.015643785215158995,0.020676870618990612,0.033051086590411866,0.010573074568528778,0.095,0.043502549410194644,0.02091839296026865,0.08883223285913883,0.0844480090812448,0.4178370842146063,0.5821629157853937
LEEK0706_T,0.125,0.0,0.0,0.018784571326311846,0.10400000000000001,0.013631021545693088,0.0,0.023188948280256194,0.04828363845405515,0.16699999999999998,0.0,0.0,0.042,0.02667132626256117,0.021,0.061475426700706236,0.026232365386967157,0.0,0.0009822793843622243,0.05723326987285099,0.021917844667437045,0.016796321285636295,0.03119954633848121,0.1276043037680526,0.37526301054668343,0.6247369894533166
LENZI1106_T,0.069,0.0,0.0,0.004263769837738092,0.125,0.0011795364993269705,0.00519719363110796,0.073631881591751,0.019746470224311717,0.24,0.0,0.0,0.013999999999999999,0.052599638148995397,0.02793338522288761,0.024064098121457385,0.03326944048679678,0.03530671595536525,0.0,0.06444101525114021,0.05760936681784595,0.004137658496021546,0.010049616807303097,0.09979248582911317,0.35970135708358053,0.6402986429164195
LI1010_T,0.18,0.02,0.0,0.021079201730861155,0.15,0.03624391681133975,0.0,0.10302702903678419,0.0,0.22,0.0,0.0,0.2,0.13631323605135257,0.03127984242028912,0.030442744831580403,0.051965028989110665,0.0,0.02607965303160464,0.03808260830866672,0.0065569598970475,0.022116734175544328,0.1525424616527885,0.13864580064455675,0.18428111509868692,0.8157188849013131
LOREK0707_T,0.0191620213873145,0.004315669733131532,0.0,0.002609269825992103,0.2,0.005053636530451912,0.0,0.061727310886315556,0.027179377824560376,0.18,0.01,0.0,0.05,0.05029801208680295,0.027193933759740663,0.0,0.03163296852659306,0.03,0.00828823424364009,0.05893484083011402,0.03602059885738185,0.0,0.06301529947759876,0.12456397069199612,0.34951321632258114,0.6504867836774189
LUSTB0510_T1,0.14,0.0,0.0,0.00747928175924717,0.35,0.03872941230592627,0.01347460439330365,0.04,0.0,0.05,0.08697110520834092,0.0,0.15,0.028924296936122022,0.02,0.029598036429620764,0.016406206694580757,0.1613030143078791,0.009059782010121344,0.02990757833648322,0.0,0.12,0.07,0.14626510008379268,0.19054805218782828,0.8094519478121718
LUSTB0510_T2,0.15,0.0,0.0,0.008751010093396908,0.3,0.03670233142941957,0.006933031120219507,0.03,0.0,0.15,0.05396777080525708,0.0,0.15,0.030328711929426856,0.0,0.0,0.02589572075800464,0.13090659632331283,0.006220279525656471,0.020117911903418273,0.0,0.03,0.06,0.1412352585798653,0.23414693142398255,0.7658530685760174
